Week,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2011-01-04,0,0,0,0,0,0
2011-01-11,0,0,0,0,0,0
2011-01-18,0,0,0,0,0,0
2011-01-25,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0
2011-02-08,0,0,0,0,0,0
2011-02-15,0,0,0,0,0,0
2011-02-22,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0
2011-03-08,0,0,0,0,0,0
2011-03-15,0,0,0,0,0,0
2011-03-22,0,0,0,0,0,0
2011-03-29,0,0,0,0,0,0
2011-04-05,0,0,0,0,0,0
2011-04-12,0,0,0,0,0,0
2011-04-19,0,0,0,0,0,0
2011-04-26,0,0,0,0,0,0
2011-05-03,0,0,0,0,0,0
2011-05-10,0,0,0,0,0,0
2011-05-17,0,0,0,0,0,0
2011-05-24,0,0,0,0,0,0
2011-05-31,0,0,0,0,0,0
2011-06-07,0,0,0,0,0,0
2011-06-14,0,0,0,0,0,0
2011-06-21,0,0,0,0,0,0
2011-06-28,0,0,0,0,0,0
2011-07-05,0,0,0,0,0,0
2011-07-12,0,0,0,0,0,0
2011-07-19,0,0,0,0,0,0
2011-07-26,0,0,0,0,0,0
2011-08-02,0,0,0,0,0,0
2011-08-09,0,0,0,0,0,0
2011-08-16,0,0,0,0,0,0
2011-08-23,0,0,0,0,0,0
2011-08-30,0,0,0,0,0,0
2011-09-06,0,0,0,0,0,0
2011-09-13,0,0,0,0,0,0
2011-09-20,0,0,0,0,0,0
2011-09-27,0,0,0,0,0,0
2011-10-04,0,0,0,0,0,0
2011-10-11,0,0,0,0,0,0
2011-10-18,0,0,0,0,0,0
2011-10-25,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0
2011-11-08,0,0,0,0,0,0
2011-11-15,0,0,0,0,0,0
2011-11-22,0,0,0,0,0,0
2011-11-29,0,0,0,0,0,0
2011-12-06,0,0,0,0,0,0
2011-12-13,0,0,0,0,0,0
2011-12-20,0,0,0,0,0,0
2011-12-27,0,0,0,0,0,0
2012-01-03,0,0,0,0,0,0
2012-01-10,0,0,0,0,0,0
2012-01-17,0,0,0,0,0,0
2012-01-24,0,0,0,0,0,0
2012-01-31,0,0,0,0,0,0
2012-02-07,0,0,0,0,0,0
2012-02-14,0,0,0,0,0,0
2012-02-21,0,0,0,0,0,0
2012-02-28,0,0,0,0,0,0
2012-03-06,0,0,0,0,0,0
2012-03-13,97.14,0,0,0,0,97
2012-03-20,100,0,0,0,0,100
2012-03-27,100,51.9,0,0,0,152
2012-04-03,100,100,0,0,0,200
2012-04-10,100,100,94.15,0,0,294
2012-04-17,100,100,94.15,0,0,294
2012-04-24,100,100,60.06,0,0,260
2012-05-01,100,100,60.06,0,0,260
2012-05-08,100,100,60.06,0,0,260
2012-05-15,100,98.93,0,0,0,199
2012-05-22,100,39.51,0,0,0,140
2012-05-29,100,39.41,0,0,0,139
2012-06-05,37.72,0,0,0,0,38
2012-06-12,37.72,0,0,0,0,38
2012-06-19,37.72,0,0,0,0,38
2012-06-26,37.72,0,0,0,0,38
2012-07-03,37.72,0,0,0,0,38
2012-07-10,0,0,0,0,0,0
2012-07-17,100,0,0,0,0,100
2012-07-24,100,19.28,0,0,0,119
2012-07-31,100,19.28,0,0,0,119
2012-08-07,100,19.28,0,0,0,119
2012-08-14,100,19.28,0,0,0,119
2012-08-21,100,0,0,0,0,100
2012-08-28,99.83,0,0,0,0,100
2012-09-04,99.79,0,0,0,0,100
2012-09-11,99.79,0,0,0,0,100
2012-09-18,99.82,0,0,0,0,100
2012-09-25,0,0,0,0,0,0
2012-10-02,0,0,0,0,0,0
2012-10-09,0,0,0,0,0,0
2012-10-16,0,0,0,0,0,0
2012-10-23,0,0,0,0,0,0
2012-10-30,0,0,0,0,0,0
2012-11-06,0,0,0,0,0,0
2012-11-13,0,0,0,0,0,0
2012-11-20,0,0,0,0,0,0
2012-11-27,0,0,0,0,0,0
2012-12-04,0,0,0,0,0,0
2012-12-11,0,0,0,0,0,0
2012-12-18,0,0,0,0,0,0
2012-12-25,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0
2013-01-08,0,0,0,0,0,0
2013-01-15,0,0,0,0,0,0
2013-01-22,0,0,0,0,0,0
2013-01-29,0,0,0,0,0,0
2013-02-05,0,0,0,0,0,0
2013-02-12,0,0,0,0,0,0
2013-02-19,0,0,0,0,0,0
2013-02-26,0,0,0,0,0,0
2013-03-05,0,0,0,0,0,0
2013-03-12,0,0,0,0,0,0
2013-03-19,0,0,0,0,0,0
2013-03-26,0,0,0,0,0,0
2013-04-02,0,0,0,0,0,0
2013-04-09,0,0,0,0,0,0
2013-04-16,0,0,0,0,0,0
2013-04-23,0,0,0,0,0,0
2013-04-30,88.51,0,0,0,0,89
2013-05-07,100,19.15,0,0,0,119
2013-05-14,100,19.15,0,0,0,119
2013-05-21,100,19.15,0,0,0,119
2013-05-28,100,0,0,0,0,100
2013-06-04,100,0,0,0,0,100
2013-06-11,0,0,0,0,0,0
2013-06-18,0,0,0,0,0,0
2013-06-25,0,0,0,0,0,0
2013-07-02,0,0,0,0,0,0
2013-07-09,0,0,0,0,0,0
2013-07-16,0,0,0,0,0,0
2013-07-23,0,0,0,0,0,0
2013-07-30,0,0,0,0,0,0
2013-08-06,0,0,0,0,0,0
2013-08-13,0,0,0,0,0,0
2013-08-20,0,0,0,0,0,0
2013-08-27,0,0,0,0,0,0
2013-09-03,0,0,0,0,0,0
2013-09-10,0,0,0,0,0,0
2013-09-17,0,0,0,0,0,0
2013-09-24,0,0,0,0,0,0
2013-10-01,44.14,0,0,0,0,44
2013-10-08,44.14,0,0,0,0,44
2013-10-15,98.21,0,0,0,0,98
2013-10-22,98.21,0,0,0,0,98
2013-10-29,100,88.13,0,0,0,188
2013-11-05,100,88.13,0,0,0,188
2013-11-12,100,96.57,0,0,0,197
2013-11-19,100,100,0,0,0,200
2013-11-26,100,100,0,0,0,200
2013-12-03,100,100,0,0,0,200
2013-12-10,100,100,0,0,0,200
2013-12-17,100,100,0,0,0,200
2013-12-24,100,100,0,0,0,200
2013-12-31,100,100,0,0,0,200
2014-01-07,100,100,0,0,0,200
2014-01-14,100,96.46,0,0,0,196
2014-01-21,99.14,0,0,0,0,99
2014-01-28,99.14,0,0,0,0,99
2014-02-04,99.14,0,0,0,0,99
2014-02-11,100,0,0,0,0,100
2014-02-18,99.97,0,0,0,0,100
2014-02-25,33.96,0,0,0,0,34
2014-03-04,33.96,0,0,0,0,34
2014-03-11,33.96,0,0,0,0,34
2014-03-18,33.96,0,0,0,0,34
2014-03-25,33.96,0,0,0,0,34
2014-04-01,0,0,0,0,0,0
2014-04-08,0,0,0,0,0,0
2014-04-15,0,0,0,0,0,0
2014-04-22,0,0,0,0,0,0
2014-04-29,0,0,0,0,0,0
2014-05-06,0,0,0,0,0,0
2014-05-13,0,0,0,0,0,0
2014-05-20,0,0,0,0,0,0
2014-05-27,0,0,0,0,0,0
2014-06-03,0,0,0,0,0,0
2014-06-10,0,0,0,0,0,0
2014-06-17,0,0,0,0,0,0
2014-06-24,0,0,0,0,0,0
2014-07-01,37.8,0,0,0,0,38
2014-07-08,37.8,0,0,0,0,38
2014-07-15,42.59,0,0,0,0,43
2014-07-22,42.59,0,0,0,0,43
2014-07-29,42.59,0,0,0,0,43
2014-08-05,95.84,0,0,0,0,96
2014-08-12,95.84,0,0,0,0,96
2014-08-19,42.63,0,0,0,0,43
2014-08-26,42.63,0,0,0,0,43
2014-09-02,42.63,0,0,0,0,43
2014-09-09,42.63,0,0,0,0,43
2014-09-16,42.63,0,0,0,0,43
2014-09-23,90.96,18.71,0,0,0,110
2014-09-30,100,18.71,0,0,0,119
2014-10-07,100,18.71,0,0,0,119
2014-10-14,100,18.71,0,0,0,119
2014-10-21,100,18.71,0,0,0,119
2014-10-28,22.47,0,0,0,0,22
2014-11-04,22.47,0,0,0,0,22
2014-11-11,22.47,0,0,0,0,22
2014-11-18,22.47,0,0,0,0,22
2014-11-25,22.47,0,0,0,0,22
2014-12-02,1.3,0,0,0,0,1
2014-12-09,0,0,0,0,0,0
2014-12-16,0,0,0,0,0,0
2014-12-23,0,0,0,0,0,0
2014-12-30,0,0,0,0,0,0
2015-01-06,0,0,0,0,0,0
2015-01-13,0,0,0,0,0,0
2015-01-20,0,0,0,0,0,0
2015-01-27,0,0,0,0,0,0
2015-02-03,0,0,0,0,0,0
2015-02-10,0,0,0,0,0,0
2015-02-17,0,0,0,0,0,0
2015-02-24,0,0,0,0,0,0
2015-03-03,0,0,0,0,0,0
2015-03-10,0,0,0,0,0,0
2015-03-17,0,0,0,0,0,0
2015-03-24,0,0,0,0,0,0
2015-03-31,0,0,0,0,0,0
2015-04-07,1.76,0,0,0,0,2
2015-04-14,1.76,0,0,0,0,2
2015-04-21,1.81,0,0,0,0,2
2015-04-28,0,0,0,0,0,0
2015-05-05,100,0,0,0,0,100
2015-05-12,100,0,0,0,0,100
2015-05-19,100,100,0,0,0,200
2015-05-26,100,100,0,0,0,200
2015-06-02,100,66.64,0,0,0,167
2015-06-09,100,66.64,0,0,0,167
2015-06-16,100,66.64,0,0,0,167
2015-06-23,100,21.1,0,0,0,121
2015-06-30,100,0,0,0,0,100
2015-07-07,58.47,0,0,0,0,58
2015-07-14,0,0,0,0,0,0
2015-07-21,0,0,0,0,0,0
2015-07-28,0,0,0,0,0,0
2015-08-04,6.6,0,0,0,0,7
2015-08-11,13.9,0,0,0,0,14
2015-08-18,13.9,0,0,0,0,14
2015-08-25,13.9,0,0,0,0,14
2015-09-01,71.93,0,0,0,0,72
2015-09-08,71.93,0,0,0,0,72
2015-09-15,71.93,0,0,0,0,72
2015-09-22,100,0,0,0,0,100
2015-09-29,100,98.25,0,0,0,198
2015-10-06,100,52.72,0,0,0,153
2015-10-13,100,52.72,0,0,0,153
2015-10-20,100,52.72,0,0,0,153
2015-10-27,100,59.8,0,0,0,160
2015-11-03,100,59.8,0,0,0,160
2015-11-10,100,59.8,0,0,0,160
2015-11-17,100,59.8,0,0,0,160
2015-11-24,100,59.8,0,0,0,160
2015-12-01,100,59.8,0,0,0,160
2015-12-08,100,59.8,0,0,0,160
2015-12-15,100,59.8,0,0,0,160
2015-12-22,100,61.99,0,0,0,162
2015-12-29,100,61.99,0,0,0,162
2016-01-05,100,61.99,0,0,0,162
2016-01-12,100,61.99,0,0,0,162
2016-01-19,100,61.99,0,0,0,162
2016-01-26,100,53.97,0,0,0,154
2016-02-02,100,53.97,0,0,0,154
2016-02-09,100,53.97,0,0,0,154
2016-02-16,100,53.97,0,0,0,154
2016-02-23,100,53.97,0,0,0,154
2016-03-01,53.73,0,0,0,0,54
2016-03-08,53.73,0,0,0,0,54
2016-03-15,53.73,0,0,0,0,54
2016-03-22,52.58,0,0,0,0,53
2016-03-29,52.58,0,0,0,0,53
2016-04-05,52.58,0,0,0,0,53
2016-04-12,52.58,0,0,0,0,53
2016-04-19,52.58,0,0,0,0,53
2016-04-26,52.58,0,0,0,0,53
2016-05-03,52.58,0,0,0,0,53
2016-05-10,76.89,0,0,0,0,77
2016-05-17,76.89,0,0,0,0,77
2016-05-24,76.89,0,0,0,0,77
2016-05-31,76.89,0,0,0,0,77
2016-06-07,100,62.74,0,0,0,163
2016-06-14,100,62.74,0,0,0,163
2016-06-21,100,85.78,0,0,0,186
2016-06-28,100,87.11,0,0,0,187
2016-07-05,100,95.34,76.09,0,0,271
2016-07-12,100,99.81,76.09,0,0,276
2016-07-19,100,100,76.09,0,0,276
2016-07-26,100,100,96.95,0,0,297
2016-08-02,100,100,100,0,0,300
2016-08-09,100,100,100,32.93,0,333
2016-08-16,100,100,100,60.54,0,361
2016-08-23,100,100,100,60.54,0,361
2016-08-30,100,100,100,61.71,0,362
2016-09-06,100,100,100,61.71,0,362
2016-09-13,100,100,100,98.69,0,399
2016-09-20,100,100,100,98.69,0,399
2016-09-27,100,100,100,98.69,0,399
2016-10-04,100,100,100,98.69,0,399
2016-10-11,100,100,100,98.68,0,399
2016-10-18,100,100,100,98.68,0,399
2016-10-25,100,100,100,98.68,0,399
2016-11-01,100,100,99.41,89.53,0,389
2016-11-08,100,100,99.41,89.53,0,389
2016-11-15,100,100,99.41,89.53,0,389
2016-11-22,100,100,99.41,89.53,0,389
2016-11-29,100,100,99.41,89.53,0,389
2016-12-06,100,100,99.41,89.53,0,389
2016-12-13,100,100,99.49,89.53,0,389
2016-12-20,100,100,99.49,89.53,0,389
2016-12-27,100,100,99.49,89.53,0,389
2017-01-03,100,100,99.49,0,0,299
2017-01-10,100,100,97.94,0,0,298
2017-01-17,100,100,97.94,0,0,298
2017-01-24,100,100,19.11,0,0,219
2017-01-31,100,100,19.11,0,0,219
2017-02-07,100,100,19.11,0,0,219
2017-02-14,100,100,19.11,0,0,219
2017-02-21,100,100,19.11,0,0,219
2017-02-28,100,100,19.11,0,0,219
2017-03-07,100,100,19.11,0,0,219
2017-03-14,100,100,19.11,0,0,219
2017-03-21,100,74.19,10.62,0,0,185
2017-03-28,100,74.19,10.62,0,0,185
2017-04-04,72.27,8.05,0,0,0,80
2017-04-11,72.27,0,0,0,0,72
2017-04-18,72.27,0,0,0,0,72
2017-04-25,26.8,0,0,0,0,27
2017-05-02,26.8,0,0,0,0,27
2017-05-09,0,0,0,0,0,0
2017-05-16,0,0,0,0,0,0
2017-05-23,0,0,0,0,0,0
2017-05-30,0,0,0,0,0,0
2017-06-06,0,0,0,0,0,0
2017-06-13,0,0,0,0,0,0
2017-06-20,0,0,0,0,0,0
2017-06-27,0,0,0,0,0,0
2017-07-04,0,0,0,0,0,0
2017-07-11,0,0,0,0,0,0
2017-07-18,0,0,0,0,0,0
2017-07-25,0,0,0,0,0,0
2017-08-01,0,0,0,0,0,0
2017-08-08,0.09,0,0,0,0,0
2017-08-15,0.09,0,0,0,0,0
2017-08-22,0.09,0,0,0,0,0
2017-08-29,0.09,0,0,0,0,0
2017-09-05,0.09,0,0,0,0,0
2017-09-12,0.09,0,0,0,0,0
2017-09-19,0.09,0,0,0,0,0
2017-09-26,86.31,0,0,0,0,86
2017-10-03,96.29,0,0,0,0,96
2017-10-10,96.29,0,0,0,0,96
2017-10-17,96.29,70.78,0,0,0,167
2017-10-24,100,84.2,0,0,0,184
2017-10-31,37.66,0,0,0,0,38
2017-11-07,37.66,0,0,0,0,38
2017-11-14,37.66,0,0,0,0,38
2017-11-21,37.66,0,0,0,0,38
2017-11-28,0,0,0,0,0,0
2017-12-05,0,0,0,0,0,0
2017-12-12,0,0,0,0,0,0
2017-12-19,0,0,0,0,0,0
2017-12-26,0,0,0,0,0,0
2018-01-02,0,0,0,0,0,0
2018-01-09,0,0,0,0,0,0
2018-01-16,0,0,0,0,0,0
2018-01-23,0,0,0,0,0,0
2018-01-30,0,0,0,0,0,0
2018-02-06,0,0,0,0,0,0
2018-02-13,0,0,0,0,0,0
2018-02-20,0,0,0,0,0,0
2018-02-27,0,0,0,0,0,0
2018-03-06,0,0,0,0,0,0
2018-03-13,0,0,0,0,0,0
2018-03-20,0,0,0,0,0,0
2018-03-27,0,0,0,0,0,0
2018-04-03,0,0,0,0,0,0
2018-04-10,0,0,0,0,0,0
2018-04-17,0,0,0,0,0,0
2018-04-24,0,0,0,0,0,0
2018-05-01,0,0,0,0,0,0
2018-05-08,0,0,0,0,0,0
2018-05-15,0,0,0,0,0,0
2018-05-22,0.43,0,0,0,0,0
2018-05-29,0.43,0,0,0,0,0
2018-06-05,95.11,0,0,0,0,95
2018-06-12,95.11,0,0,0,0,95
2018-06-19,96.32,0,0,0,0,96
2018-06-26,96.32,0,0,0,0,96
2018-07-03,96.32,0,0,0,0,96
2018-07-10,100,0,0,0,0,100
2018-07-17,100,92.45,0,0,0,192
2018-07-24,100,0,0,0,0,100
2018-07-31,0,0,0,0,0,0
2018-08-07,0,0,0,0,0,0
2018-08-14,0,0,0,0,0,0
2018-08-21,0,0,0,0,0,0
2018-08-28,0,0,0,0,0,0
2018-09-04,0,0,0,0,0,0
2018-09-11,0,0,0,0,0,0
2018-09-18,0,0,0,0,0,0
2018-09-25,0,0,0,0,0,0
2018-10-02,0,0,0,0,0,0
2018-10-09,0,0,0,0,0,0
2018-10-16,0,0,0,0,0,0
2018-10-23,0,0,0,0,0,0
2018-10-30,0,0,0,0,0,0
2018-11-06,0,0,0,0,0,0
2018-11-13,0,0,0,0,0,0
2018-11-20,0,0,0,0,0,0
2018-11-27,0,0,0,0,0,0
2018-12-04,0,0,0,0,0,0
2018-12-11,0,0,0,0,0,0
2018-12-18,0,0,0,0,0,0
2018-12-25,0,0,0,0,0,0
2019-01-01,0,0,0,0,0,0
2019-01-08,0,0,0,0,0,0
2019-01-15,0,0,0,0,0,0
2019-01-22,0,0,0,0,0,0
2019-01-29,0,0,0,0,0,0
2019-02-05,0,0,0,0,0,0
2019-02-12,0,0,0,0,0,0
2019-02-19,0,0,0,0,0,0
2019-02-26,0,0,0,0,0,0
2019-03-05,0,0,0,0,0,0
2019-03-12,0,0,0,0,0,0
2019-03-19,0,0,0,0,0,0
2019-03-26,0,0,0,0,0,0
2019-04-02,0,0,0,0,0,0
2019-04-09,0,0,0,0,0,0
2019-04-16,0,0,0,0,0,0
2019-04-23,0,0,0,0,0,0
2019-04-30,0,0,0,0,0,0
2019-05-07,0,0,0,0,0,0
2019-05-14,0,0,0,0,0,0
2019-05-21,0,0,0,0,0,0
2019-05-28,0,0,0,0,0,0
2019-06-04,0,0,0,0,0,0
2019-06-11,0,0,0,0,0,0
2019-06-18,0,0,0,0,0,0
2019-06-25,0,0,0,0,0,0
2019-07-02,0,0,0,0,0,0
2019-07-09,0,0,0,0,0,0
2019-07-16,0,0,0,0,0,0
2019-07-23,0,0,0,0,0,0
2019-07-30,0,0,0,0,0,0
2019-08-06,0,0,0,0,0,0
2019-08-13,0,0,0,0,0,0
2019-08-20,0,0,0,0,0,0
2019-08-27,0,0,0,0,0,0
2019-09-03,0,0,0,0,0,0
2019-09-10,0,0,0,0,0,0
2019-09-17,7.22,0,0,0,0,7
2019-09-24,61.21,0,0,0,0,61
2019-10-01,60.42,0,0,0,0,60
2019-10-08,60.69,0,0,0,0,61
2019-10-15,100,0,0,0,0,100
2019-10-22,93.15,0,0,0,0,93
2019-10-29,93.15,0,0,0,0,93
2019-11-05,0,0,0,0,0,0
2019-11-12,0,0,0,0,0,0
2019-11-19,0,0,0,0,0,0
2019-11-26,0,0,0,0,0,0
2019-12-03,0,0,0,0,0,0
2019-12-10,0,0,0,0,0,0
2019-12-17,0,0,0,0,0,0
2019-12-24,0,0,0,0,0,0
2019-12-31,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0
2020-03-17,12.93,0,0,0,0,13
2020-03-24,12.93,0,0,0,0,13
2020-03-31,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0
2020-04-14,0,0,0,0,0,0
2020-04-21,0,0,0,0,0,0
2020-04-28,0,0,0,0,0,0
2020-05-05,0,0,0,0,0,0
2020-05-12,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0
2020-06-02,87.03,0,0,0,0,87
2020-06-09,100,0,0,0,0,100
2020-06-16,100,0,0,0,0,100
2020-06-23,100,39.23,0,0,0,139
2020-06-30,95.65,39.23,0,0,0,135
2020-07-07,78.85,39.23,0,0,0,118
2020-07-14,85.43,38.39,0,0,0,124
2020-07-21,85.43,38.39,0,0,0,124
2020-07-28,100,38.32,0,0,0,138
2020-08-04,100,29.15,0,0,0,129
2020-08-11,100,35.56,0,0,0,136
2020-08-18,100,99.15,0,0,0,199
2020-08-25,100,100,12.47,0,0,212
2020-09-01,100,100,12.47,0,0,212
2020-09-08,100,100,12.47,0,0,212
2020-09-15,100,100,12.47,0,0,212
2020-09-22,100,100,87.11,0,0,287
2020-09-29,100,100,100,0.39,0,300
2020-10-06,100,100,100,38.88,0,339
2020-10-13,100,100,100,38.88,0,339
2020-10-20,100,100,38.3,0,0,238
2020-10-27,100,100,38.3,0,0,238
2020-11-03,100,96.09,0,0,0,196
2020-11-10,100,96.09,0,0,0,196
2020-11-17,100,96.09,0,0,0,196
2020-11-24,100,51.79,0,0,0,152
2020-12-01,100,0.07,0,0,0,100
2020-12-08,100,0,0,0,0,100
2020-12-15,0.22,0,0,0,0,0
2020-12-22,0.22,0,0,0,0,0
2020-12-29,0,0,0,0,0,0
2021-01-05,0,0,0,0,0,0
2021-01-12,0,0,0,0,0,0
2021-01-19,0,0,0,0,0,0
2021-01-26,0,0,0,0,0,0
2021-02-02,0,0,0,0,0,0
2021-02-09,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0
2021-02-23,0,0,0,0,0,0
2021-03-02,0,0,0,0,0,0
2021-03-09,0,0,0,0,0,0
2021-03-16,0,0,0,0,0,0
2021-03-23,5.26,0,0,0,0,5
2021-03-30,56.11,0,0,0,0,56
2021-04-06,100,0,0,0,0,100
2021-04-13,100,44.51,0,0,0,145
2021-04-20,100,44.51,0,0,0,145
2021-04-27,100,44.51,0,0,0,145
2021-05-04,23.14,0,0,0,0,23
2021-05-11,0,0,0,0,0,0
2021-05-18,0,0,0,0,0,0
2021-05-25,0,0,0,0,0,0
2021-06-01,0,0,0,0,0,0
2021-06-08,0,0,0,0,0,0
2021-06-15,0,0,0,0,0,0
2021-06-22,0,0,0,0,0,0
2021-06-29,0,0,0,0,0,0
2021-07-06,0,0,0,0,0,0
2021-07-13,0,0,0,0,0,0
2021-07-20,0,0,0,0,0,0
2021-07-27,0,0,0,0,0,0
2021-08-03,0,0,0,0,0,0
2021-08-10,0,0,0,0,0,0
2021-08-17,0,0,0,0,0,0
2021-08-24,0,0,0,0,0,0
2021-08-31,0,0,0,0,0,0
2021-09-07,0,0,0,0,0,0
2021-09-14,0,0,0,0,0,0
2021-09-21,0,0,0,0,0,0
2021-09-28,0,0,0,0,0,0
2021-10-05,0,0,0,0,0,0
2021-10-12,0,0,0,0,0,0
2021-10-19,0,0,0,0,0,0
2021-10-26,0,0,0,0,0,0
2021-11-02,0,0,0,0,0,0
2021-11-09,0,0,0,0,0,0
2021-11-16,0,0,0,0,0,0
2021-11-23,0,0,0,0,0,0
2021-11-30,0,0,0,0,0,0
2021-12-07,0,0,0,0,0,0
2021-12-14,0,0,0,0,0,0
2021-12-21,0,0,0,0,0,0
2021-12-28,0,0,0,0,0,0